"Application","Object","Object Name","Object Type","Hash","Policy","Result","URL","User Agent","Response Code","Subject","Version","Command","Reason","Action","Status","Session Type","Process Name","Process ID","Parent Process ID","Parent Process Name","Parent Process Path","Quantity","Amount","Size","Rate","Duration","Session","Known Application","Host (Impacted) KBytes Rcvd","Host (Impacted) KBytes Sent","Host (Impacted) KBytes Total","Host (Impacted) Packets Rcvd","Host (Impacted) Packets Sent","Host (Impacted) Packets Total","Classification","Common Event","Priority","Direction","Severity","Vendor Message ID","Vendor Info","MPE Rule Name","Threat Name","Threat ID","CVE","Host (Origin)","Host (Impacted)","MAC Address (Origin)","MAC Address (Impacted)","Interface (Origin)","Interface (Impacted)","IP Address (Origin)","IP Address (Impacted)","NAT IP Address (Origin)","NAT IP Address (Impacted)","Hostname (Origin)","Hostname (Impacted)","Known Host (Origin)","Known Host (Impacted)","Serial Number","User (Origin)","User (Impacted)","Sender","Recipient","Group","Entity (Origin)","Entity (Impacted)","Zone (Origin)","Zone (Impacted)","Location (Origin)","Location (Impacted)","Country (Origin)","Country (Impacted)","Region (Origin)","Region (Impacted)","Log Date","Log Count","Log Source Entity","Log Source Type","Log Source Host","Log Source","Log Sequence Number","Log Message","First Log Date","Last Log Date","Network (Origin)","Network (Impacted)","Domain (Impacted)","Domain (Origin)","Protocol","TCP/UDP Port (Origin)","TCP/UDP Port (Impacted)","NAT TCP/UDP Port (Origin)","NAT TCP/UDP Port (Impacted)","Rule Block","Actions","User (Origin) Identity","User (Impacted) Identity","Sender Identity","Recipient Identity"
"HTTP","http_inspect: multi_slash encoding","currently not vulnerable",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.31.162.203","146.75.122.172",,,,,"172.31.162.203","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:17:00 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37351074","12 08 2024 18:17:00 172.16.50.251 <SLOG:INFO> Dec  8 18:17:00 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Currently Not Vulnerable] From ""FTD-01"" at Sun Dec  8 18:16:59 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.31.162.203:58825 (unknown)->146.75.122.172:80 (unknown)",1733674620250,1733674620250,,,,,"TCP",58825,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","currently not vulnerable",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.31.162.203","146.75.122.172",,,,,"172.31.162.203","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:17:00 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37351075","12 08 2024 18:17:00 172.16.50.251 <SLOG:INFO> Dec  8 18:17:00 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Currently Not Vulnerable] From ""FTD-01"" at Sun Dec  8 18:16:59 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.31.162.203:58822 (unknown)->146.75.122.172:80 (unknown)",1733674620250,1733674620250,,,,,"TCP",58822,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.71.7","146.75.122.172",,,,,"172.29.71.7","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:14:39 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37343728","12 08 2024 18:14:39 172.16.50.251 <SLOG:INFO> Dec  8 18:14:39 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:14:37 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.71.7:65118 (unknown)->146.75.122.172:80 (unknown)",1733674479211,1733674479211,,,,,"TCP",65118,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","146.75.122.172",,,,,"172.29.70.97","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:12:42 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37337425","12 08 2024 18:12:42 172.16.50.251 <SLOG:INFO> Dec  8 18:12:42 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:12:42 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:59759 (unknown)->146.75.122.172:80 (unknown)",1733674362209,1733674362209,,,,,"TCP",59759,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","146.75.122.172",,,,,"172.29.70.97","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:12:42 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37337426","12 08 2024 18:12:42 172.16.50.251 <SLOG:INFO> Dec  8 18:12:42 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:12:41 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:59755 (unknown)->146.75.122.172:80 (unknown)",1733674362209,1733674362209,,,,,"TCP",59755,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","146.75.122.172",,,,,"172.29.70.97","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:12:41 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37337362","12 08 2024 18:12:41 172.16.50.251 <SLOG:INFO> Dec  8 18:12:41 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:12:40 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:59752 (unknown)->146.75.122.172:80 (unknown)",1733674361209,1733674361209,,,,,"TCP",59752,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","currently not vulnerable",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.31.162.215","108.139.74.4",,,,,"172.31.162.215","108.139.74.4",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"United States, Washington, Seattle",,"United States",,"Washington","12/08/2024, 8:11:54 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37334761","12 08 2024 18:11:54 172.16.50.251 <SLOG:INFO> Dec  8 18:11:54 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Currently Not Vulnerable] From ""FTD-01"" at Sun Dec  8 18:11:53 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.31.162.215:59425 (unknown)->108.139.74.4:80 (unknown)",1733674314209,1733674314209,,,,,"TCP",59425,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","151.101.122.172",,,,,"172.29.70.97","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:09:12 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37326420","12 08 2024 18:09:12 172.16.50.251 <SLOG:INFO> Dec  8 18:09:12 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:09:11 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:59568 (unknown)->151.101.122.172:80 (unknown)",1733674152210,1733674152210,,,,,"TCP",59568,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","151.101.122.172",,,,,"172.29.70.97","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:08:53 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37325530","12 08 2024 18:08:53 172.16.50.251 <SLOG:INFO> Dec  8 18:08:53 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:08:53 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:59531 (unknown)->151.101.122.172:80 (unknown)",1733674133210,1733674133210,,,,,"TCP",59531,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","151.101.122.172",,,,,"172.29.70.97","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:08:52 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37325490","12 08 2024 18:08:52 172.16.50.251 <SLOG:INFO> Dec  8 18:08:52 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:08:52 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:59514 (unknown)->151.101.122.172:80 (unknown)",1733674132210,1733674132210,,,,,"TCP",59514,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.66.61","151.101.123.52",,,,,"172.29.66.61","151.101.123.52",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:00:45 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37301000","12 08 2024 18:00:45 172.16.50.251 <SLOG:INFO> Dec  8 18:00:45 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:00:44 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.66.61:52742 (unknown)->151.101.123.52:80 (unknown)",1733673645194,1733673645194,,,,,"TCP",52742,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.202","151.101.122.172",,,,,"172.29.70.202","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 7:51:46 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37273014","12 08 2024 17:51:46 172.16.50.251 <SLOG:INFO> Dec  8 17:51:46 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 17:51:44 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.202:49770 (unknown)->151.101.122.172:80 (unknown)",1733673106206,1733673106206,,,,,"TCP",49770,80,,,,,,,,
